Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1977,1977,t,5751000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1977,1977,t,1359200,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1977,1977,t,12300,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1977,1977,t,7073000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1977,1977,kg/ha,70.43,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1977,1977,kg/cap,7.33,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1977,1977,g/Int$,39.27,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1978,1978,t,7903100,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1978,1978,t,1424182,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1978,1978,t,9637,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1978,1978,t,9280000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1978,1978,kg/ha,92.51,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1978,1978,kg/cap,9.48,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1978,1978,g/Int$,47.05,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1979,1979,t,9095900,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1979,1979,t,1562522,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1979,1979,t,11129,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1979,1979,t,10641000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1979,1979,kg/ha,106.12,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1979,1979,kg/cap,10.73,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1979,1979,g/Int$,51.87,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1980,1980,t,10286000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1980,1980,t,1853129,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1980,1980,t,12112100,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1980,1980,kg/ha,120.86,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1980,1980,kg/cap,12.03,E,Estimated value,
